artist,genre,pronoun,artistUrl,songUrl,alias1,alias2
Xyla,left field,she,https://soundcloud.com/xyla_alyx,https://soundcloud.com/hyponik-com/first-listen-xyla-usagerec-room,,
Yazzus,left field,she,https://soundcloud.com/yazzus-1,https://soundcloud.com/szns7n/yazzus-mitsibushi-dizzle,,
Yetsuby,expirimental ,she,https://soundcloud.com/yetsuby,https://soundcloud.com/yetsuby/oishi,,
Yikii,expirimental ,she,https://soundcloud.com/yikii,https://soundcloud.com/functionlab/premiere-yikii-frost-jelly?in=functionlab/sets/yikii-dont-cry-little-ghost,,
Ylia,left field,she,https://soundcloud.com/ylia,https://soundcloud.com/peopleyoumayknowpumk/a3-naive-realism?in=phran/sets/people-you-may-know-one-hand, Terence, People You May Know
Yosa Peit,expirimental ,she,https://soundcloud.com/josa-peit,https://soundcloud.com/taxfreerec/tax12008-yosa-peit-phyton-out-end-of-october,,
Yullola,left field,she,https://soundcloud.com/yullola,https://soundcloud.com/yullola/badjuju,,
Yushh,left field,she,https://soundcloud.com/yushh,https://soundcloud.com/djmag/premiere-yushh-bcc?in=djmag/sets/dj-mag-premieres,,
Zamilska,techno,she,https://soundcloud.com/zamilska,https://soundcloud.com/zamilska/sets/remix-for-paula-temple,,
ziur,expirimental ,she,https://soundcloud.com/ziurziurziur,https://soundcloud.com/planetmurecords/ziur-i-vanish2?in=ziurziurziur/sets/ato-out-nov-15th-on-planet-mu,,
Zoe Xenia,house,she,https://soundcloud.com/zoexenia,https://soundcloud.com/mottosono/my-heart-sings-by-zoe-xenia-motto5?in=mottosono/sets/motto5,,
ZOF,house ,she,https://soundcloud.com/zofdj,https://soundcloud.com/brooklynfire/zof-rain-original-mix?in=zofdj/sets/releases,,
HoneyLuv,house,she,https://soundcloud.com/user-76951829,https://soundcloud.com/user-76951829/your-tongue-radio-edit,,
Talik ,left field,she,https://soundcloud.com/talik1,https://soundcloud.com/inverted-audio/talik-cold-silver-martyns-time-freeze-mix-intercept?in=talik1/sets/releases,,
